REF_DATE,GEO,DGUID,Structural type of dwelling,Coordinate,Total - Household,Number of persons in private households,Average household size
2021,Quebec,2021A000224,Other single-attached house,26.8,15745,32640,2.1
2021,Quebec,2021A000224,Movable dwelling,26.9,23760,44805,1.9
2021,"Alma (CA), Que.",2021S0504410,Total - Structural type of dwelling,27.1,13815,29320,2.1
2021,"Alma (CA), Que.",2021S0504410,Single-detached house,27.2,7150,17885,2.5
2021,"Alma (CA), Que.",2021S0504410,Semi-detached house,27.3,1065,2195,2.1
2021,"Alma (CA), Que.",2021S0504410,Row house,27.4,250,450,1.8
2021,"Alma (CA), Que.",2021S0504410,Apartment or flat in a duplex,27.5,1890,3575,1.9
2021,"Alma (CA), Que.",2021S0504410,Apartment in a building that has fewer than five storeys,27.6,3230,4795,1.5
2021,"Alma (CA), Que.",2021S0504410,Apartment in a building that has five or more storeys,27.7,30,35,1.3
2021,"Alma (CA), Que.",2021S0504410,Other single-attached house,27.8,130,230,1.8
2021,"Alma (CA), Que.",2021S0504410,Movable dwelling,27.9,70,150,2.2
2021,"Amos (CA), Que.",2021S0504481,Total - Structural type of dwelling,28.1,8250,18295,2.2
2021,"Amos (CA), Que.",2021S0504481,Single-detached house,28.2,5235,13170,2.5
2021,"Amos (CA), Que.",2021S0504481,Semi-detached house,28.3,280,605,2.2
2021,"Amos (CA), Que.",2021S0504481,Row house,28.4,180,360,2.0
2021,"Amos (CA), Que.",2021S0504481,Apartment or flat in a duplex,28.5,600,1115,1.9
2021,"Amos (CA), Que.",2021S0504481,Apartment in a building that has fewer than five storeys,28.6,1835,2800,1.5
2021,"Amos (CA), Que.",2021S0504481,Apartment in a building that has five or more storeys,28.7,0,0,0.0
2021,"Amos (CA), Que.",2021S0504481,Other single-attached house,28.8,50,95,2.0
2021,"Amos (CA), Que.",2021S0504481,Movable dwelling,28.9,75,145,2.0
2021,"Baie-Comeau (CA), Que.",2021S0504406,Total - Structural type of dwelling,29.1,12355,25720,2.1
2021,"Baie-Comeau (CA), Que.",2021S0504406,Single-detached house,29.2,7180,16880,2.4
2021,"Baie-Comeau (CA), Que.",2021S0504406,Semi-detached house,29.3,750,1665,2.2
2021,"Baie-Comeau (CA), Que.",2021S0504406,Row house,29.4,295,585,2.0
2021,"Baie-Comeau (CA), Que.",2021S0504406,Apartment or flat in a duplex,29.5,375,690,1.8
2021,"Baie-Comeau (CA), Que.",2021S0504406,Apartment in a building that has fewer than five storeys,29.6,2315,3400,1.5
2021,"Baie-Comeau (CA), Que.",2021S0504406,Apartment in a building that has five or more storeys,29.7,100,120,1.2
2021,"Baie-Comeau (CA), Que.",2021S0504406,Other single-attached house,29.8,65,105,1.6
2021,"Baie-Comeau (CA), Que.",2021S0504406,Movable dwelling,29.9,1275,2285,1.8
2021,"Cowansville (CA), Que.",2021S0504437,Total - Structural type of dwelling,30.1,6980,14285,2.1
2021,"Cowansville (CA), Que.",2021S0504437,Single-detached house,30.2,2805,6895,2.5
2021,"Cowansville (CA), Que.",2021S0504437,Semi-detached house,30.3,325,855,2.6
